episode,episode_order,speaker,utterance,lower_case,cleaned_text,stemmed_text
57264,9,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","It's a 2,200-mile race. To give some sense of perspective, that's roughly the distance between Washington, D.C. and Las Vegas. They do it over the course of three weeks at very fast speeds. But incredibly, oftentimes the distance between first and second is somewhere between and one and three minutes.","it's a 2,200-mile race. to give some sense of perspective, that's roughly the distance between washington, d.c. and las vegas. they do it over the course of three weeks at very fast speeds. but incredibly, oftentimes the distance between first and second is somewhere between and one and three minutes.",its a 2200mile race to give some sense of perspective thats roughly the distance between washington dc and las vegas they do it over the course of three weeks at very fast speeds but incredibly oftentimes the distance between first and second is somewhere between and one and three minutes,it a 2200mile race to give some sens of perspect that roughli the distanc between washington dc and la vega they do it over the cours of three week at veri fast speed but incred oftentim the distanc between first and second is somewher between and one and three minut
57264,10,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","So for a top competitor like Lance to try to make up that much time -he's now 13 minutes, 26 seconds behind the current race leader, Cadel Evans of Australia. And even Lance said yesterday that for him, the -any chance of winning the tour has gone out the window. He still does have a teammate on his team, RadioShack team, American Levi Leipheimer currently in eighth place, two minutes, 14 seconds back. And Lance is going to do what he can to help Leipheimer do well.","so for a top competitor like lance to try to make up that much time -he's now 13 minutes, 26 seconds behind the current race leader, cadel evans of australia. and even lance said yesterday that for him, the -any chance of winning the tour has gone out the window. he still does have a teammate on his team, radioshack team, american levi leipheimer currently in eighth place, two minutes, 14 seconds back. and lance is going to do what he can to help leipheimer do well.",so for a top competitor like lance to try to make up that much time hes now 13 minutes 26 seconds behind the current race leader cadel evans of australia and even lance said yesterday that for him the any chance of winning the tour has gone out the window he still does have a teammate on his team radioshack team american levi leipheimer currently in eighth place two minutes 14 seconds back and lance is going to do what he can to help leipheimer do well,so for a top competitor like lanc to tri to make up that much time he now 13 minut 26 second behind the current race leader cadel evan of australia and even lanc said yesterday that for him the ani chanc of win the tour ha gone out the window he still doe have a teammat on hi team radioshack team american levi leipheim current in eighth place two minut 14 second back and lanc is go to do what he can to help leipheim do well
57264,11,"NEAL CONAN, host","So in every team, presumably there's one star, one equivalent to Lance Armstrong and the other team - the rest of the teammates project him, do what they can to help him succeed?","so in every team, presumably there's one star, one equivalent to lance armstrong and the other team - the rest of the teammates project him, do what they can to help him succeed?",so in every team presumably theres one star one equivalent to lance armstrong and the other team  the rest of the teammates project him do what they can to help him succeed,so in everi team presum there one star one equival to lanc armstrong and the other team  the rest of the teammat project him do what they can to help him succeed
57264,12,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's right. Each team has nine riders. And what you have is basically the team leader, sort of your queen bee, and then eight worker bees working to keep that queen safe and happy for when the decisive moments of the race come. In cycling, a lot of the energy goes toward actually battling wind resistance. So if you're riding behind another rider, you can be using up to 30 percent less energy because you're in that slipstream of the rider who's battling the wind. So team riders will ride on the front, protect their leader. You'll often see a team member drift back to the team car to fetch water bottles to keep their leader well hydrated.","that's right. each team has nine riders. and what you have is basically the team leader, sort of your queen bee, and then eight worker bees working to keep that queen safe and happy for when the decisive moments of the race come. in cycling, a lot of the energy goes toward actually battling wind resistance. so if you're riding behind another rider, you can be using up to 30 percent less energy because you're in that slipstream of the rider who's battling the wind. so team riders will ride on the front, protect their leader. you'll often see a team member drift back to the team car to fetch water bottles to keep their leader well hydrated.",thats right each team has nine riders and what you have is basically the team leader sort of your queen bee and then eight worker bees working to keep that queen safe and happy for when the decisive moments of the race come in cycling a lot of the energy goes toward actually battling wind resistance so if youre riding behind another rider you can be using up to 30 percent less energy because youre in that slipstream of the rider whos battling the wind so team riders will ride on the front protect their leader youll often see a team member drift back to the team car to fetch water bottles to keep their leader well hydrated,that right each team ha nine rider and what you have is basic the team leader sort of your queen bee and then eight worker bee work to keep that queen safe and happi for when the decis moment of the race come in cycl a lot of the energi goe toward actual battl wind resist so if your ride behind anoth rider you can be use up to 30 percent less energi becaus your in that slipstream of the rider who battl the wind so team rider will ride on the front protect their leader youll often see a team member drift back to the team car to fetch water bottl to keep their leader well hydrat
57264,13,"NEAL CONAN, host","So slipstream, this is like drafting in car racing, right?","so slipstream, this is like drafting in car racing, right?",so slipstream this is like drafting in car racing right,so slipstream thi is like draft in car race right
57264,14,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)",That's exactly right.,that's exactly right.,thats exactly right,that exactli right
57264,15,"NEAL CONAN, host","And so the guy who's in back has an easier time. And even when there are people in front on a breakaway, for example, who are from different teams, three or four riders, you will see them switch back and forth rather congenially so the same person isn't in front all the time.","and so the guy who's in back has an easier time. and even when there are people in front on a breakaway, for example, who are from different teams, three or four riders, you will see them switch back and forth rather congenially so the same person isn't in front all the time.",and so the guy whos in back has an easier time and even when there are people in front on a breakaway for example who are from different teams three or four riders you will see them switch back and forth rather congenially so the same person isnt in front all the time,and so the guy who in back ha an easier time and even when there are peopl in front on a breakaway for exampl who are from differ team three or four rider you will see them switch back and forth rather congeni so the same person isnt in front all the time
57264,16,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's right. There's a lot of deal making that can go on in those breakaways. And oftentimes, they'll share the work until a time when they've determined it's every man for himself. But up until then, they form a sort of de facto team. And then sometimes you can see they've actually decided who might be able to win the stage that day. And these wagers can be for anything, for future favors, for money, for other things that they determine are valuable.","that's right. there's a lot of deal making that can go on in those breakaways. and oftentimes, they'll share the work until a time when they've determined it's every man for himself. but up until then, they form a sort of de facto team. and then sometimes you can see they've actually decided who might be able to win the stage that day. and these wagers can be for anything, for future favors, for money, for other things that they determine are valuable.",thats right theres a lot of deal making that can go on in those breakaways and oftentimes theyll share the work until a time when theyve determined its every man for himself but up until then they form a sort of de facto team and then sometimes you can see theyve actually decided who might be able to win the stage that day and these wagers can be for anything for future favors for money for other things that they determine are valuable,that right there a lot of deal make that can go on in those breakaway and oftentim theyll share the work until a time when theyv determin it everi man for himself but up until then they form a sort of de facto team and then sometim you can see theyv actual decid who might be abl to win the stage that day and these wager can be for anyth for futur favor for money for other thing that they determin are valuabl
57264,17,"NEAL CONAN, host","We're talking with Loren Mooney, the editor-in-chief of Bicycling Magazine. She's at our bureau in New York. Why do you watch the Tour de France? So we want to hear from our bicycling audience today. 800-989-8255. Email us: talk@npr.org. And we'll start with John(ph), John with us from San Francisco.","we're talking with loren mooney, the editor-in-chief of bicycling magazine. she's at our bureau in new york. why do you watch the tour de france? so we want to hear from our bicycling audience today. 800-989-8255. email us: talk@npr.org. and we'll start with john(ph), john with us from san francisco.",were talking with loren mooney the editorinchief of bicycling magazine shes at our bureau in new york why do you watch the tour de france so we want to hear from our bicycling audience today 8009898255 email us talknprorg and well start with johnph john with us from san francisco,were talk with loren mooney the editorinchief of bicycl magazin she at our bureau in new york whi do you watch the tour de franc so we want to hear from our bicycl audienc today 8009898255 email us talknprorg and well start with johnph john with us from san francisco
57264,18,JOHN (Caller),Hello.,hello.,hello,hello
